Title,ISSN,E-ISSN,SJR Quartile
Nature,00280836,14764687,Q1
Science,00368075,10959203,Q1
Cell,00928674,10974172,Q1
The Lancet,01406736,1474547X,Q1
The New England Journal of Medicine,00284793,15334406,Q1
Journal of Physics,17578981,1758798X,Q2
Physical Review Letters,00319007,10797114,Q1
Journal of the American Chemical Society,00027863,15205126,Q1
Angewandte Chemie International Edition,14337851,15213773,Q1
Talanta,00399140,18733573,Q1
PLOS ONE,19326203,19326203,Q2
Nature Communications,20411723,20411723,Q1
IEEE Transactions on Neural Networks and Learning Systems,21622388,21622388,Q1
Advanced Materials,09359648,15214095,Q1
ACS Nano,19360851,19360851,Q1
Scientific Reports,20452322,20452322,Q1
Journal of Microbiology Biotechnology and Food Sciences,13385178,13385178,Q3
Acta Crystallographica Section E: Crystallographic Communications,16005368,16005368,Q3
Journal of Medical Case Reports,17520509,17520509,Q3
Bioinformatics,13674803,14602059,Q1
BMC Bioinformatics,14712105,14712105,Q1
Water Resources Research,00431397,19447973,Q1
Environmental Science & Technology,0013936X,15205851,Q1
Environmental Pollution,02697491,18736424,Q1
Journal of Hazardous Materials,03043894,18733336,Q1
Chemical Engineering Journal,13858947,18733212,Q1
Water Research,00431354,18792448,Q1
Genome Biology,14747596,14747596,Q1
Journal of Experimental Biology,00220949,14779145,Q1
Proceedings of the National Academy of Sciences,00278424,10916490,Q1
